10401,Acxiom US Automotive,Acxiom US,Household specific information about current vehicle or likely next vehicle
399091905,Acxiom US Automotive > Automotive Appearance,Acxiom US,
300642299,Acxiom US Automotive > Automotive Appearance > Accessories,Acxiom US,"Likely to purchase extra accessories for a vehicle, such as wheel covers, license plate frames, stick shift knobs, or emergency repair kits."
300641899,Acxiom US Automotive > Automotive Appearance > Appearance Chemicals,Acxiom US,Likely to use products like waxes and washes to keep up the car's appearance.
300642099,Acxiom US Automotive > Automotive Appearance > Appearance Products,Acxiom US,"Likely to purchase products to keep up the vehicle's appearance, including cleaning clothes and polishing tools, as well as washes and waxes."
399091906,Acxiom US Automotive > Automotive Maintenance,Acxiom US,
300641999,Acxiom US Automotive > Automotive Maintenance > Batteries,Acxiom US,Likely to purchase any vehicle battery or battery accessory.
300642199,Acxiom US Automotive > Automotive Maintenance > Engine Maintenance,Acxiom US,"Likey to purchase products to help maintain a vehicle's engine, including items such as antifreeze, refrigerants or spark plugs."
300642399,Acxiom US Automotive > Automotive Maintenance > Motor Oil,Acxiom US,Likely to purchase motor oil for a vehicle.
300642499,Acxiom US Automotive > Automotive Maintenance > Performance Products,Acxiom US,"Likely to purchase specialty products to help  a vehicle's performance, such as brake cleaners, oil additives, or gas treatments."
300642599,Acxiom US Automotive > Automotive Maintenance > Wash Fluid,Acxiom US,Likely to purchase washer fluid for a vehicle.
300642699,Acxiom US Automotive > Automotive Maintenance > Windshield Products,Acxiom US,Likely to purchase either washer fluid or windshield wipers.
1948,Acxiom US Automotive > Vehicle - New Car Buyer,Acxiom US,Indicates a history of new car buying in the household. This data cannot personally identify an individual’s vehicle.
399000900,Acxiom US Automotive > Car Rental,Acxiom US,Household specific information about car rental reasons
10739,Acxiom US Automotive > Car Rental > Business Use,Acxiom US,This element ranks the likelihood that someone in this household has used a car rental for business use in the last 12 months.
14001,Acxiom US Automotive > Car Rental > Personal Use,Acxiom US,This ranks the likelihood that someone in this household has used car rental for personal use in the last 12 months.
300026899,Acxiom US Automotive > Car Rental > Personal Use > Alamo,Acxiom US,This element ranks the likelihood that someone in this household has used Alamo car rental for personal use in the last 12 months.
300026799,Acxiom US Automotive > Car Rental > Personal Use > Any Company in Category,Acxiom US,This element ranks the likelihood that someone in this household has used a car rental for personal use in the last 12 months.
300026999,Acxiom US Automotive > Car Rental > Personal Use > Avis,Acxiom US,This element ranks the likelihood that someone in this household has used Avis car rental for personal use in the last 12 months.
300027099,Acxiom US Automotive > Car Rental > Personal Use > Budget,Acxiom US,This element ranks the likelihood that someone in this household has used Budget car rental for personal use in the last 12 months.
300027199,Acxiom US Automotive > Car Rental > Personal Use > Dollar,Acxiom US,This element ranks the likelihood that someone in this household has used Dollar car rental for personal use in the last 12 months.
300027299,Acxiom US Automotive > Car Rental > Personal Use > Hertz,Acxiom US,This element ranks the likelihood that someone in this household has used Hertz car rental for personal use in the last 12 months.
300027399,Acxiom US Automotive > Car Rental > Personal Use > National,Acxiom US,This element ranks the likelihood that someone in this household has used National car rental for personal use in the last 12 months.
300027599,Acxiom US Automotive > Car Rental > Personal Use > Other Rental Car Company,Acxiom US,This element ranks the likelihood that someone in this household has used other car rental for personal use in the last 12 months.
300027499,Acxiom US Automotive > Car Rental > Personal Use > Thrifty,Acxiom US,This element ranks the likelihood that someone in this household has used Thrifty car rental for personal use in the last 12 months.
1074,Acxiom US Automotive > Consumer Dynamics,Acxiom US,
1075,Acxiom US Automotive > Consumer Dynamics > Automotive Segmentation,Acxiom US,
300129001,Acxiom US Automotive > Consumer Dynamics > Automotive Segmentation > 01 - Upper Rung City,Acxiom US,Upper Rung City households likely have a high propensity for European or Japanese Luxury or SUV or Sports cars. These high wealth households live in downtown metros and cities and are between 30 and 65 years old.
300129002,Acxiom US Automotive > Consumer Dynamics > Automotive Segmentation > 02 - Upper Rung Suburban,Acxiom US,Upper Rung Suburban households likely have a high propensity for European or Japanese Luxury or SUV or Sports cars. These high wealth households live in suburbs and towns and outlying areas and are between 30 and 65 years old.
300129003,Acxiom US Automotive > Consumer Dynamics > Automotive Segmentation > 03 - Rich and Retired,Acxiom US,Rich and Retired households likely have a high propensity for Luxury cars - regardless of origin. These households are high income and net worth between the ages of 56 and 76 or more.
300129004,Acxiom US Automotive > Consumer Dynamics > Automotive Segmentation > 04 - Married with Children,Acxiom US,Married with Children Households likely have a high propensity for Minivans - regardless of origin. These households are age 30 or more and are mostly well-educated professionals with dual incomes and active lifestyles.
300129005,Acxiom US Automotive > Consumer Dynamics > Automotive Segmentation > 05 - The Single Life,Acxiom US,The Single Live Households likely have a high propensity for European or Japanese Sports cars. These households have an average age of 36 to 65 and enjoy a lifestyle reflecting their upper-middle income and single life.
300129006,Acxiom US Automotive > Consumer Dynamics > Automotive Segmentation > 06 - Urban Marrieds,Acxiom US,Urban Married households likely have a high propensity for a variety of vehicles including pickups and subcompacts and SUVs. These households are very active - most are married and have no children at home. The age range is 24 to 65.
